2026-03-16 14:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-16 14:00:00', 'MAIN METER 2', '2026-03-16 14:00:00', '26-03-16 14:00',0.00)
2026-03-17 06:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-17 06:00:00', 'MAIN METER 2', '2026-03-17 06:00:00', '26-03-17 06:00',0.00)
2026-03-17 06:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-17 06:00:00', 'MAIN METER 2', '2026-03-17 06:00:00', '26-03-17 06:00',0.00)
2026-03-18 08:00:09 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-18 08:00:00', 'MAIN METER 2', '2026-03-18 07:00:00', '26-03-18 08:00',55.19)
2026-03-18 11:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-18 11:00:00', 'MAIN METER 2', '2026-03-18 10:00:00', '26-03-18 11:00',271.75)
2026-03-19 05:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-19 05:00:00', 'MAIN METER 2', '2026-03-18 20:00:00', '26-03-19 05:00',0.00)
2026-03-19 12:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-19 12:00:00', 'MAIN METER 2', '2026-03-19 11:00:00', '26-03-19 12:00',404.57)
2026-03-20 07:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-20 07:00:00', 'MAIN METER 2', '2026-03-20 06:00:00', '26-03-20 07:00',9.01)
2026-03-20 18:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-20 18:00:00', 'MAIN METER 2', '2026-03-20 17:00:00', '26-03-20 18:00',39.12)
2026-03-21 08:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-21 08:00:00', 'MAIN METER 2', '2026-03-21 07:00:00', '26-03-21 08:00',32.87)
2026-03-21 10:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-21 10:00:00', 'MAIN METER 2', '2026-03-21 09:00:00', '26-03-21 10:00',186.74)
2026-03-21 15:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-21 15:00:00', 'MAIN METER 2', '2026-03-21 14:00:00', '26-03-21 15:00',383.61)
2026-03-22 10:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-22 10:00:00', 'MAIN METER 2', '2026-03-22 09:00:00', '26-03-22 10:00',266.87)
2026-03-22 16:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-22 16:00:00', 'MAIN METER 2', '2026-03-22 15:00:00', '26-03-22 16:00',173.90)
2026-03-22 18:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-22 18:00:00', 'MAIN METER 2', '2026-03-22 18:00:00', '26-03-22 18:00',0.00)
2026-03-22 18:00:13 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-22 18:00:00', 'MAIN METER 2', '2026-03-22 18:00:00', '26-03-22 18:00',0.00)
